video_id,channel_id,channel_name,duration_sec,category,video_url
IwVxONoGpz0,UC3wfNI_ZipV1Nihswf540oA,Capital Drama,3679.0,Natok,https://www.youtube.com/watch?v=IwVxONoGpz0
J-Xe24bpAfI,UCiCnPY--pbn5S8JkJdV2PbQ,Bengali Movies- Angel Digital,7127.0,Movie,https://www.youtube.com/watch?v=J-Xe24bpAfI
J3g_vF2gMpM,UC9FHe3sU-2xmFyEOOHWGbxA,Bangla Natok 2024,2036.0,Natok,https://www.youtube.com/watch?v=J3g_vF2gMpM
JGbS-q28TXU,UCjIi0uZg4h5Ar8gvLDTrGwA,GTV News,3395.0,Talk-show,https://www.youtube.com/watch?v=JGbS-q28TXU
JIuHlFm7aZg,UCz8RV3ySqP3SmgQFZzceVPg,Asad Noor,1016.0,Comedy / Satire,https://www.youtube.com/watch?v=JIuHlFm7aZg
JQJoT7krUV4,UCLnxsptAdA9as2YNPIeJ94A,Mosharraf Karim,3721.0,Natok,https://www.youtube.com/watch?v=JQJoT7krUV4
JRVLGXa5siI,UCBMUPWjxgZ-ndBbuO1NKFBA,Cine Thrillers BD,2146.0,Movie,https://www.youtube.com/watch?v=JRVLGXa5siI
JbXewLyftgk,UC7PwfNI2zuokhCctN9VymLg,Protidiner Bangladesh,309.0,Education,https://www.youtube.com/watch?v=JbXewLyftgk
JpHe0WaQL_k,UCX3cyebJZX62QOmPTyk-cww,SR Romana Explain,2835.0,Movie,https://www.youtube.com/watch?v=JpHe0WaQL_k
JpZybVPjUAk,UCR9-c_ryeb4OM_I3c3zUFYw,Bangladeshi Food Reviewer,2273.0,Vlog,https://youtu.be/JpZybVPjUAk?si=XzpPiEbra6zxS-3D
JvEzIWAYPAY,UCqF1RXSrxzbyZPOn_LcjI2g,টকশো ক্ষুদেবার্তা,1367.0,Talk-show,https://www.youtube.com/watch?v=JvEzIWAYPAY
JvtlbZDz2N8,UCF7USNwvrBhFCXsohC_U9ag,My AudioBook,1848.0,Audio-book,https://www.youtube.com/watch?v=JvtlbZDz2N8
JxB-IrprvM0,UCjIi0uZg4h5Ar8gvLDTrGwA,GTV News,4419.0,Talk-show,https://www.youtube.com/watch?v=JxB-IrprvM0
K5rzvmU0khs,UCF7USNwvrBhFCXsohC_U9ag,My AudioBook,3120.0,Audio-book,https://www.youtube.com/watch?v=K5rzvmU0khs
